region,population_millions,reference_year,source,source_url,note
Lombardia,10.03,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Lazio,5.75,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Campania,5.71,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Sicilia,4.88,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Veneto,4.88,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Emilia-Romagna,4.46,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Piemonte,4.31,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Puglia,3.95,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Toscana,3.69,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Calabria,1.89,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Sardegna,1.61,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Liguria,1.52,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Marche,1.50,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Abruzzo,1.29,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Friuli Venezia Giulia,1.20,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Umbria,0.87,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Basilicata,0.55,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Molise,0.30,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
Valle d'Aosta,0.125,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
P.A. Trento,0.545,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
P.A. Bolzano,0.532,2020,ISTAT 2020 resident-population tables,https://www.istat.it/it/files/2021/12/CENSIMENTO-E-DINAMICA-DEMOGRAFICA-2020.pdf,"Frozen rounded weight used in the analysis"
